"Datum";"Naam / Omschrijving";"Rekening";"Tegenrekening";"Code";"Af Bij";"Bedrag (EUR)";"MutatieSoort";"Mededelingen"
"20250410";"Jumbo Deventer >DEVENTER 10.04";"";"";"";"Af";"41,74";"";""
"20250411";"HBM Machines B.V.";"";"NL56DEUT0019804615";"";"Af";"28,98";"";"X9928374708 X9928374709 CT-C422790"
"20250414";"Jumbo Deventer >DEVENTER 14.04";"";"";"";"Af";"16,37";"";""
"20250416";"Jumbo Deventer >DEVENTER 16.04";"";"";"";"Af";"5,99";"";""
"20250418";"Jumbo Deventer >DEVENTER 18.04";"";"";"";"Af";"46,32";"";""
"20250418";"Copar via Stichting Mollie Payments";"";"NL51DEUT0016877995";"";"Af";"134,16";"";"X9928374710 X9928374711 Order X9928374712 Copar"
"20250419";"Albert Heijn 1440 >DEVENTER 19";"";"";"";"Af";"3,69";"";""
"20250422";"Jumbo Deventer >DEVENTER 22.04";"";"";"";"Af";"32,57";"";""
"20250423";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1214,77";"";"AOW     APR 25 VZ09443330 WWW.SVB.NL                                              SVB"
"20250423";"SIMYO";"";"NL83INGB0009174216";"";"Af";"9,84";"";"Simyo:X9928374713, FACTUURNUMMER:X9928374714"
"20250423";"ODIDO NETHERLANDS B.V.";"";"NL95COBA0019997218";"";"Af";"46,44";"";"Odido Internet + TV MFT42362 Factuur TMT1050101502"
"20250425";"Kosten gebruik betaalrekening ";"";"";"";"Af";"3,2";"";""
"20250425";"Reg.BelastingSamenwerking";"";"NL47BNGH0019804615";"";"Af";"74,7";"";"Aanslag: 202500003002000 , Gecomb.bel.jaren 2024/2025 , Vervaldatum termijn: 30.04.2025"
"20250425";"THE MATRIX.ORG FOUNDATION C.I.C";"";"IE30CITI99005132956548";"";"Af";"5";"";"Matrix.org"
"20250425";"FIETSERSBOND";"";"NL59INGB0001451048";"";"Af";"5";"";"Contributie april 2025"
"20250425";"VITENS NV";"";"NL94INGB0000869000";"";"Af";"8";"";"Factuurnr X9928374715,Johan Termijnfactuur APR"
"20250425";"Energiewacht B.V.";"";"NL44RABO0019804615";"";"Af";"8,98";"";"Factuur VF10-250808337"
"20250426";"Jumbo Deventer >DEVENTER 26.04";"";"";"";"Af";"29,32";"";""
"20250428";"GroenLinks Contributies";"";"NL05TRIO0019804615";"";"Af";"25";"";"GroenLinks Lidmaatschap (01-apr-2025 tot 01-mei-2025)"
"20250428";"GBLT";"";"NL82DEUT0019804615";"";"Af";"31,5";"";"GBLT incasso maandelijkse termijn Termijn 9 van 10 Vervaldatum 28 apr 2025 Kenmerk X9928374716 Heffingjaar 2024"
"20250429";"ASR HYPOTHEEK";"";"NL91ABNA0019804615";"";"Af";"894,95";"";"Termijnbetaling hypotheek. Kijk voor uw actuele saldo op: https://mijnhypotheek.asr.nl. PERIODE 04-2025"
"20250429";"TLS BV inz. OV-Chipkaart";"";"NL12RABO0019823445";"";"Af";"50";"";"Automatisch opladen OV-chipkaart Kaartnummer:X9928374717 Oplaaddatum/tijd:24-04-25 20:08"
"20250429";"Jumbo Deventer >DEVENTER 29.04";"";"";"";"Af";"14,33";"";""
"20250430";"Transavia";"";"NL04ADYB2031076332";"";"Af";"257,4";"";"MSN557TDRSCQPFF32I2L5 X9928374718 WEI99T X9928374719"
"20250430";"Albert Heijn 1440 >DEVENTER 30";"";"";"";"Af";"42,54";"";""
"20250501";"Speelgoedmuseum >DEVENTER 1.05";"";"";"";"Af";"12";"";""
"20250501";"CCV*Van der Veldes Sle>ENSCHED";"";"";"";"Af";"4";"";""
"20250501";"De Kribbe Horeca B.V.";"";"NL35RABO0019804615";"";"Af";"6";"";"X9928374720 X9928374721 Booq Payment"
"20250501";"Jumbo Deventer >DEVENTER 1.05.";"";"";"";"Af";"2,78";"";""
"20250502";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"703,82";"";"PENSIOEN MEI 2025"
"20250502";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"276,98";"";"Netto uitkering april 2025 NL70BNDA0013929458"
"20250502";"CCV*V.O.F. Rozebooms I>VAASSEN";"";"";"";"Af";"8";"";""
"20250502";"Albert Heijn 1440 >DEVENTER 2.";"";"";"";"Af";"39,1";"";""
"20250504";"Jumbo Deventer >DEVENTER 4.05.";"";"";"";"Af";"32,62";"";""
"20250504";"CCV*Cafetaria De Worp >DEVENTE";"";"";"";"Af";"8,7";"";""
"20250505";"Albert Heijn 1440 >DEVENTER 5.";"";"";"";"Af";"5,54";"";""
"20250506";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan Notanummer GC0110498249 van 01 mei 2025"
"20250506";"HEMA EV050DEVENTER >DEVENTER 6";"";"";"";"Af";"12,98";"";""
"20250508";"NS GROEP IZ NS REIZIGERS";"";"NL14ABNA0019804615";"";"Af";"4,65";"";"Factuur: X9928374722"
"20250509";"Jumbo Deventer >DEVENTER 9.05.";"";"";"";"Af";"32,12";"";""
"20250511";"Hotel Bakker >Vorden 11.05.202";"";"";"";"Af";"34,75";"";""
"20250511";"CCV*TALAMINI >DEVENTER 11.05.2";"";"";"";"Af";"29,8";"";""
"20250512";"Jumbo Deventer >DEVENTER 12.05";"";"";"";"Af";"72,5";"";""
"20250512";"Albert Heijn 1440 >DEVENTER 12";"";"";"";"Af";"4,98";"";""
"20250513";"Polarsteps";"";"NL58CITI2032329913";"";"Af";"216,8";"";"X9928374723 X9928374724 polarsteps.com"
"20250515";"Albert Heijn 1440 >DEVENTER 15";"";"";"";"Af";"33,5";"";""
"20250520";"Jumbo Deventer >DEVENTER 20.05";"";"";"";"Af";"17,39";"";""
"20250520";"Bever Deventer >DEVENTER 20.05";"";"";"";"Af";"8,95";"";""
"20250522";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1774,22";"";"AOW+VAK        VZ09443330 WWW.SVB.NL                                              SVB"
"20250522";"THE MATRIX.ORG FOUNDATION C.I.C";"";"IE30CITI99005132956548";"";"Af";"5";"";"Matrix.org"
"20250522";"De Locomotief >GROESBEEK22.05.";"";"";"";"Af";"135";"";""
"20250523";"VEER MILLINGEN AD RIJN>MILLING";"";"";"";"Af";"5";"";""
"20250523";"BROODS Zeddam >ZEDDAM 23.05.20";"";"";"";"Af";"6";"";""
"20250524";"Bakk.Heijerman >ZELHEM 24.05.2";"";"";"";"Af";"23,11";"";""
"20250524";"Jumbo Deventer >DEVENTER 24.05";"";"";"";"Af";"11,22";"";""
"20250525";"Kosten gebruik betaalrekening ";"";"";"";"Af";"3,65";"";""
"20250526";"Jumbo Deventer >DEVENTER 26.05";"";"";"";"Af";"31,5";"";""
"20250526";"Reg.BelastingSamenwerking";"";"NL47BNGH0019804615";"";"Af";"74,7";"";"Aanslag: 202500003002000 , Gecomb.bel.jaren 2024/2025 , Vervaldatum termijn: 31.05.2025"
"20250526";"ODIDO NETHERLANDS B.V.";"";"NL95COBA0019997218";"";"Af";"46,44";"";"Odido Internet + TV MFT42362 Factuur TMT1051085962"
"20250526";"VITENS NV";"";"NL94INGB0000869000";"";"Af";"8";"";"Factuurnr X9928374725,Johan Termijnfactuur MEI"
"20250526";"GBLT";"";"NL82DEUT0019804615";"";"Af";"31,49";"";"GBLT incasso maandelijkse termijn Termijn 10 van 10 Vervaldatum 26 mei 2025 Kenmerk X9928374726 Heffingjaar 2024"
"20250527";"SIMYO";"";"NL83INGB0009174216";"";"Af";"9,84";"";"Simyo:X9928374727, FACTUURNUMMER:X9928374728"
"20250527";"FIETSERSBOND";"";"NL59INGB0001451048";"";"Af";"5";"";"Contributie mei 2025"
"20250528";"GroenLinks Contributies";"";"NL05TRIO0019804615";"";"Af";"25";"";"GroenLinks Lidmaatschap (01-mei-2025 tot 01-jun-2025)"
"20250528";"CCV*BAX BV >DEVENTER 28.05.202";"";"";"";"Af";"240";"";""
"20250529";"BCK*McDonalds Gorinche>GORINCH";"";"";"";"Af";"28,35";"";""
"20250529";"ASR HYPOTHEEK";"";"NL91ABNA0019804615";"";"Af";"894,95";"";"Termijnbetaling hypotheek. Kijk voor uw actuele saldo op: https://mijnhypotheek.asr.nl. PERIODE 05-2025"
"20250529";"Energiewacht B.V.";"";"NL44RABO0019804615";"";"Af";"8,98";"";"Factuur VF10-251016439"
"20250531";"N-ICE CREAM >OUD-HEVER31.05.20";"";"";"";"Af";"41,6";"";""
"20250602";"Brand New Day";"";"NL70BNDA0013929458";"";"Bij";"276,98";"";"Netto uitkering mei 2025 NL70BNDA0013929458"
"20250602";"ABP Pensio";"";"NL68RABO0018166535";"";"Bij";"703,82";"";"PENSIOEN JUNI 2025"
"20250602";"Jumbo Deventer >DEVENTER 2.06.";"";"";"";"Af";"40,57";"";""
"20250605";"Signal Technology Foundation";"";"NL58CITI2032329913";"";"Af";"0,01";"";"X9928374729 X9928374730 Signal Foundation"
"20250606";"STRIPE";"";"GB23CITI18500810220205";"";"Bij";"0,01";"";"REFUND FROM SIGNAL TECHNOLOGY FOUNDATION"
"20250606";"GREENCHOICE";"";"NL18INGB0001901816";"";"Af";"75";"";"Johan Notanummer GC0111125963 van 01 juni 2025"
"20250608";"Jumbo Deventer >DEVENTER 8.06.";"";"";"";"Af";"62,27";"";""
"20250609";"Signal Technology Foundation";"";"IE30CITI99005132956548";"";"Af";"5";"";"Signal Foundation"
"20250612";"Jumbo Deventer >DEVENTER 12.06";"";"";"";"Af";"44,65";"";""
"20250616";"Albert Heijn 1440 >DEVENTER 16";"";"";"";"Af";"12,76";"";""
"20250617";"DEKAMARKT LOC 505 >TWELLO 17.0";"";"";"";"Af";"13,66";"";""
"20250619";"Jumbo Deventer >DEVENTER 19.06";"";"";"";"Af";"20,07";"";""
"20250619";"Wijhese Veer B.V. >WIJHE 19.06";"";"";"";"Af";"3";"";""
"20250621";"Jumbo Deventer >DEVENTER 21.06";"";"";"";"Af";"40,8";"";""
"20250622";"bol.com";"";"NL27INGB0001392934";"";"Af";"18,02";"";"X9928374731 X9928374732 bol.com A0006NUXMX"
"20250623";"Sociale Verzekeringsbank";"";"NL16RABO0019973114";"";"Bij";"1214,77";"";"AOW     JUN 25 VZ09443330 WWW.SVB.NL                                              SVB"
